CustomerID,FirstName,LastName,CreditCardNumber,OrderID,PurchaseDate,DeliveryDate,ShippingClass,ProductID,Department,Category,ItemPurchased,Quantity,Price,ShippingCost,Discount,Sales,Profit,DistributionCenterID,DeliveryZipCode,HomeZipCode,TransactionStatus,City,Region,State,Country,Segment,OrderPriority,OrderReturned,OrderDeliveryDelayed,Rating,ReviewID,Friends,SharedWith,ZipCodeInSupplyChainNet,CityInSupplyChainNet,StateInSupplyChainNet,LatitudeInSupplyChainNet,LongitudeInSupplyChainNet,FacilityIDInSupplyChainNet,DistributionCenterIDInSupplyChainNet,WarehouseIDInSupplyChainNet
863-54-9713,Deja,Schneider,xxxx-xxxx-xxxx-7254,461c272b-dd0d-494c-a46b-40cb9ea164e2,Mon May 09 22:36:17 EDT 2022,Wed May 11 22:35:36 EDT 2022,Two Day,ELE-PH-4038-493,Electronics,Phones,LG CDMA 3,3,759.39,6.67,15.58,2269.26,408.46680000000003,DistributionCenter_10,60605,60605,Approved,Chicago,TO_BE_ADDED,IL,USA,Corporate,low,Yes,No,0,,,,60605,Chicago,IL,41.860019,-87.6187,,DistributionCenter_10,Warehouse_3
796-28-9702,Noel,Feest,xxxx-xxxx-xxxx-4098,64de1299-57d4-4fb9-ad6c-450fdc567b80,Mon May 09 22:31:07 EDT 2022,Sat May 14 22:27:45 EDT 2022,Standard,ELE-MA-1059-663,Electronics,Machines,Okidata Inkjet - White,3,900.57,52.73,73.99,2680.4500000000003,268.045,DistributionCenter_19,10098,10098,Approved,New York,TO_BE_ADDED,NY,USA,Home Office,Critical,No,No,1,,012-03-3602,012-03-3602,10098,New York,NY,40.748181,-73.988421,,DistributionCenter_19,Warehouse_6
536-11-4286,Kelsi,Bauch,xxxx-xxxx-xxxx-2495,27b3ebf5-f12f-4d9c-8400-b68e73922e40,Mon May 09 22:36:09 EDT 2022,Tue May 10 22:32:49 EDT 2022,Next Day,OFF-AR-8574-632,Office Supplies,Art,Brooke Multipurpose Staples,4,7.22,1.54,1.59,28.83,1.7297999999999998,DistributionCenter_50,33192,33192,Declined,Miami,TO_BE_ADDED,FL,USA,Home Office,High,No,No,1,3ebf5-f12f,802-30-4775;570-60-5897;182-06-9210;132-76-0973,570-60-5897;132-76-0973,33192,Miami,FL,25.558428,-80.458168,DistributionCenter_50,DistributionCenter_50,Warehouse_15
796-28-9702,Noel,Feest,xxxx-xxxx-xxxx-4098,1da80bd1-000b-4545-9095-cafc299d5979,Mon May 09 22:25:13 EDT 2022,Tue May 10 22:33:34 EDT 2022,Next Day,OFF-BI-1429-455,Office Supplies,Binders,Brite Binding System,2,14.97,3.93,1.16,32.71,3.2710000000000004,DistributionCenter_78,75303,75303,Approved,Dallas,TO_BE_ADDED,TX,USA,Corporate,Critical,No,No,0,80bd1-000b,551-92-0024,551-92-0024,75303,Dallas,TX,32.767268,-96.777626,,DistributionCenter_78,Warehouse_21
495-59-1513,Lisa,Huel,xxxx-xxxx-xxxx-5643,7b269cff-03e9-4cce-902d-b24a5a0d183f,Mon May 09 22:26:33 EDT 2022,Tue May 10 22:30:09 EDT 2022,Next Day,FUR-TA-8780-066,Furniture,Tables,Frontier Mount Side Table,2,392.13,12.64,12.23,784.67,86.3137,DistributionCenter_55,33265,33265,Approved,Miami,TO_BE_ADDED,FL,USA,Consumer,low,Yes,No,0,69cff-03e9,426-43-9031;654-19-0396;047-70-5963,426-43-9031,33265,Miami,FL,25.558428,-80.458168,,DistributionCenter_55,Warehouse_16
178-72-9628,Frederik,Cole,xxxx-xxxx-xxxx-1866,eb3a8314-a95b-4913-b518-c34885b3de9e,Mon May 09 22:34:12 EDT 2022,Sat May 14 22:33:21 EDT 2022,Standard,SPO-HU-9743-501,Sports,Hunting & Fishing,Fishing Rod,3,461.25,18.81,27.74,1374.82,27.496399999999998,DistributionCenter_93,30368,30368,Declined,Atlanta,TO_BE_ADDED,GA,USA,Corporate,High,Yes,No,1,,506-72-8759,,30368,Atlanta,GA,33.844371,-84.47405,,DistributionCenter_93,Warehouse_17
895-57-4626,Nayeli,Roob,xxxx-xxxx-xxxx-7787,cf69488e-296b-4513-88c9-22fe8d64014e,Mon May 09 22:34:18 EDT 2022,Sat May 14 22:37:41 EDT 2022,Standard,OFF-AP-4890-236,Office Supplies,Appliances,Hoover Stove - Red,2,305.95,25.61,23.8,613.71,67.5081,DistributionCenter_90,30343,30343,Approved,Atlanta,TO_BE_ADDED,GA,USA,Corporate,low,No,No,0,,,,30343,Atlanta,GA,33.844371,-84.47405,,DistributionCenter_90,Warehouse_16
728-57-0583,Louisa,Dooley,xxxx-xxxx-xxxx-7880,a1436b9c-c638-40c9-9101-ae8f2197547f,Mon May 09 22:34:06 EDT 2022,Tue May 10 22:25:58 EDT 2022,Next Day,GRO-BE-4150-630,Grocery,Beans,Kidney Beans,4,2.81,2.76,0.63,13.37,0.6685,DistributionCenter_92,30302,30302,Approved,Atlanta,TO_BE_ADDED,GA,USA,Home Office,Critical,No,No,1,36b9c-c638,427-06-6535;820-78-9464,427-06-6535,30302,Atlanta,GA,33.844371,-84.47405,,DistributionCenter_92,Warehouse_17
014-43-1522,Marisol,Stehr,xxxx-xxxx-xxxx-6127,a40bef50-e696-409d-88c8-7f26f8f46330,Mon May 09 22:28:36 EDT 2022,Wed May 11 22:30:16 EDT 2022,Two Day,CLO-TS-3857-459,Clothing,TShirt,Brooks Brothers Tshirt - Light Gray,5,50.56,4.86,6.76,250.90000000000003,20.072000000000003,DistributionCenter_30,2212,2212,Approved,Boston,TO_BE_ADDED,MA,USA,Consumer,High,No,No,0,bef50-e696,,,2212,Boston,MA,42.446396,-71.459405,,DistributionCenter_30,Warehouse_11
341-44-1545,Tia,Cummings,xxxx-xxxx-xxxx-3351,8ca89706-9c53-422b-9923-4e92f7fc1c2b,Mon May 09 22:26:06 EDT 2022,Sat May 14 22:33:09 EDT 2022,Standard,OFF-BI-0848-830,Office Supplies,Binders,Avery Binding System,2,10.39,2.93,1.23,22.48,0.8992,DistributionCenter_3,60673,60673,Declined,Chicago,TO_BE_ADDED,IL,USA,Home Office,High,No,No,3,89706-9c53,409-11-1058;109-64-1577,109-64-1577,60673,Chicago,IL,41.811929,-87.68732,,DistributionCenter_3,Warehouse_2
470-53-6078,Saul,Sporer,xxxx-xxxx-xxxx-8906,b8aa2a79-bf81-446f-97fb-a5a9196e6adb,Mon May 09 22:31:25 EDT 2022,Tue May 10 22:36:01 EDT 2022,Next Day,OFF-AP-0580-002,Office Supplies,Appliances,LG Microwave - Black,2,312.6,26.64,22.04,629.8000000000001,6.298000000000001,DistributionCenter_61,33134,33134,Declined,Miami,TO_BE_ADDED,FL,USA,Corporate,High,No,No,0,a2a79-bf81,751-03-3096;576-16-5681,,33134,Miami,FL,25.753927,-80.27034,DistributionCenter_61,DistributionCenter_61,Warehouse_17
899-65-0046,Mathias,Anderson,xxxx-xxxx-xxxx-5720,5be4d98c-42c8-4573-8297-518a91d1124a,Mon May 09 22:28:22 EDT 2022,Tue May 10 22:30:49 EDT 2022,Next Day,FUR-TA-7327-043,Furniture,Tables,Laptop Table - Multipurpose,4,228.07,12.04,18.62,905.6999999999999,172.083,DistributionCenter_95,30319,30319,Approved,Atlanta,TO_BE_ADDED,GA,USA,Home Office,medium,No,No,3,4d98c-42c8,710-98-5815;140-20-0943,,30319,Atlanta,GA,33.872053,-84.33611,DistributionCenter_95,DistributionCenter_95,Warehouse_17
872-18-2896,Antone,Marvin,xxxx-xxxx-xxxx-8153,5cd0f698-24d9-419c-9eeb-332dac469a59,Mon May 09 22:37:26 EDT 2022,Tue May 10 22:26:50 EDT 2022,Next Day,OFF-AR-8273-156,Office Supplies,Art,Office Art Frames,3,6.84,1.67,1.83,20.36,0.8144,DistributionCenter_45,90087,90087,Approved,Los Angeles,TO_BE_ADDED,CA,USA,Home Office,High,No,No,4,,194-18-2442;835-49-5050,194-18-2442,90087,Los Angeles,CA,33.786594,-118.298662,,DistributionCenter_45,Warehouse_14
019-10-8432,Erwin,Batz,xxxx-xxxx-xxxx-0907,3b23b2c6-9dfb-44ad-b5c6-33763d9e83ac,Mon May 09 22:26:55 EDT 2022,Wed May 11 22:31:37 EDT 2022,Two Day,ELE-AC-4649-562,Electronics,Accessories,Logitech Marble Mouse,2,141.76,12.48,11.09,284.91,56.982000000000006,DistributionCenter_1,60668,60668,Approved,Chicago,TO_BE_ADDED,IL,USA,Home Office,High,Yes,Yes,1,,805-78-8202,805-78-8202,60668,Chicago,IL,41.811929,-87.68732,,DistributionCenter_1,Warehouse_1
147-98-6350,Stacy,Bogan,xxxx-xxxx-xxxx-3767,6b535ffa-2df4-4bcc-b85a-ea20cdb3c68c,Mon May 09 22:27:53 EDT 2022,Sat May 14 22:28:44 EDT 2022,Standard,FUR-CH-8753-012,Furniture,Chairs,Pilot Armchair - Magenta,3,124.69,12.46,11.22,375.30999999999995,60.04959999999999,DistributionCenter_18,10292,10292,Approved,New York,TO_BE_ADDED,NY,USA,Consumer,medium,No,No,3,35ffa-2df4,895-25-0829;756-95-2038,756-95-2038,10292,New York,NY,40.780751,-73.977182,,DistributionCenter_18,Warehouse_6
561-31-6538,Wyman,Sauer,xxxx-xxxx-xxxx-7646,28e5242c-16f6-4b67-9f7d-1e6b59cc06f4,Mon May 09 22:27:58 EDT 2022,Wed May 11 22:37:15 EDT 2022,Two Day,SPO-FI-1354-393,Sports,Fitness,Baseball Bat,2,98.63,7.73,10.04,194.95,27.293,DistributionCenter_33,2105,2105,Declined,Boston,TO_BE_ADDED,MA,USA,Consumer,low,No,No,4,5242c-16f6,089-82-6017;658-53-0193,,2105,Boston,MA,42.338947,-70.919635,,DistributionCenter_33,Warehouse_11
863-54-9713,Deja,Schneider,xxxx-xxxx-xxxx-7254,4c1833d9-0ace-4529-88cd-298727811ee0,Mon May 09 22:28:49 EDT 2022,Sat May 14 22:33:22 EDT 2022,Standard,ELE-CO-3350-662,Electronics,Copiers,Sharp Fax Machine - Digital,4,565.42,24.59,21.72,2264.55,113.22750000000002,DistributionCenter_21,10286,10286,Approved,New York,TO_BE_ADDED,NY,USA,Consumer,medium,Yes,No,1,,,,10286,New York,NY,40.714231,-74.011895,DistributionCenter_21,DistributionCenter_21,Warehouse_7
543-41-5786,Luisa,Braun,xxxx-xxxx-xxxx-1869,9eeb0b46-90cd-4d84-ad7b-05af30b548c7,Mon May 09 22:28:57 EDT 2022,Wed May 11 22:30:12 EDT 2022,Two Day,ELE-AC-2534-377,Electronics,Accessories,1TB Portable External Hard Drive,3,120.5,12.17,11.79,361.88,10.856399999999999,DistributionCenter_89,31131,31131,Approved,Atlanta,TO_BE_ADDED,GA,USA,Home Office,medium,No,No,0,,352-98-8944,,31131,Atlanta,GA,33.844371,-84.47405,,DistributionCenter_89,Warehouse_16
543-41-5786,Luisa,Braun,xxxx-xxxx-xxxx-1869,cd79442c-4b8e-4047-9118-d521fbfb3ff4,Mon May 09 22:28:51 EDT 2022,Wed May 11 22:40:09 EDT 2022,Two Day,CLO-SH-8772-501,Clothing,Shorts,Brooks Brothers Shorts - Salmon,3,761.61,10.33,14.62,2280.54,296.4702,DistributionCenter_75,75249,75249,Approved,Dallas,TO_BE_ADDED,TX,USA,Corporate,low,No,Yes,0,,254-93-2130,,75249,Dallas,TX,32.639661,-96.95317,,DistributionCenter_75,Warehouse_20
240-89-4936,Isabella,Halvorson,xxxx-xxxx-xxxx-1978,6886de98-dfbc-4f94-9f60-71905e69a13b,Mon May 09 22:30:45 EDT 2022,Tue May 10 22:39:11 EDT 2022,Next Day,CLO-SH-2522-188,Clothing,Shorts,Everlane Shorts - Navy,2,759.79,8.97,14.34,1514.21,121.13680000000001,DistributionCenter_75,75265,75265,Approved,Dallas,TO_BE_ADDED,TX,USA,Consumer,medium,No,Yes,0,,461-53-2954,,75265,Dallas,TX,32.767268,-96.777626,,DistributionCenter_75,Warehouse_20
543-41-5786,Luisa,Braun,xxxx-xxxx-xxxx-1869,400fe5ff-1097-424d-92fb-ddee395ae42b,Mon May 09 22:39:13 EDT 2022,Sat May 14 22:28:46 EDT 2022,Standard,SPO-GO-8453-545,Sports,Golf,Golf Clubs - Titleist,1,383.37,49.45,72.47,360.34999999999997,28.828,DistributionCenter_92,30333,30333,Approved,Atlanta,TO_BE_ADDED,GA,USA,Corporate,low,No,No,2,,503-10-2126;771-76-5027;778-69-3131,,30333,Atlanta,GA,33.891251,-84.07456,,DistributionCenter_92,Warehouse_17
232-18-0893,Keara,Stroman,xxxx-xxxx-xxxx-9280,e09687ca-ec82-46d7-8cce-a90a3b54410a,Mon May 09 22:31:20 EDT 2022,Tue May 10 22:27:34 EDT 2022,Next Day,CLO-TS-0471-085,Clothing,TShirt,Chicago Bears Tshirt - Dark Blue,2,72.61,3.56,6.57,142.21,5.688400000000001,DistributionCenter_36,90048,90048,Declined,Los Angeles,TO_BE_ADDED,CA,USA,Home Office,Critical,Yes,No,1,,569-71-4284,569-71-4284,90048,Los Angeles,CA,34.073759,-118.37376,,DistributionCenter_36,Warehouse_12
463-27-1834,Palma,Towne,xxxx-xxxx-xxxx-3741,4def0576-3fe8-42a7-ae09-000a3f7a4947,Mon May 09 22:38:03 EDT 2022,Wed May 11 22:28:58 EDT 2022,Two Day,SPO-FI-4730-525,Sports,Fitness,Baseball Mitt,2,41.55,8.32,24.03,67.38999999999999,12.130199999999997,DistributionCenter_69,75283,75283,Approved,Dallas,TO_BE_ADDED,TX,USA,Consumer,medium,Yes,Yes,0,f0576-3fe8,833-67-0532,833-67-0532,75283,Dallas,TX,32.767268,-96.777626,,DistributionCenter_69,Warehouse_19
803-67-2103,Milton,Funk,xxxx-xxxx-xxxx-2576,05885631-b5e9-42ed-9cc1-777250a4f4bc,Mon May 09 22:31:29 EDT 2022,Sat May 14 22:39:11 EDT 2022,Standard,ELE-MA-7030-888,Electronics,Machines,Epsilon Card Laser Printer - Red,3,972.29,50.46,53.77,2913.56,349.62719999999996,DistributionCenter_97,50022,50022,Approved,Atlantic,TO_BE_ADDED,IA,USA,Corporate,High,No,Yes,2,85631-b5e9,760-14-5150;672-29-9829;227-95-1031,760-14-5150;227-95-1031,50022,Atlantic,IA,41.410484,-95.00852,,DistributionCenter_97,Warehouse_17
463-27-1834,Palma,Towne,xxxx-xxxx-xxxx-3741,531298b1-a693-4a31-9db8-13e8866f5e63,Mon May 09 22:34:53 EDT 2022,Wed May 11 22:31:55 EDT 2022,Two Day,FUR-CH-0317-041,Furniture,Chairs,Comfy Office Chair - Dusk,3,127.44,10.81,11.31,381.82,3.8182,DistributionCenter_57,33107,33107,Declined,Miami,TO_BE_ADDED,FL,USA,Corporate,High,No,Yes,3,,606-96-3302;086-65-3917,,33107,Miami,FL,25.558428,-80.458168,Warehouse_17,DistributionCenter_57,Warehouse_17
826-92-3145,Ayla,Carter,xxxx-xxxx-xxxx-5487,d029dd8b-1d03-4885-8262-21c5b7f0b3b1,Mon May 09 22:30:35 EDT 2022,Sat May 14 22:33:39 EDT 2022,Standard,CLO-TS-4816-126,Clothing,TShirt,Everlane Tshirt - Gray,4,72.42,4.34,8.65,285.37,11.4148,DistributionCenter_29,2293,2293,Declined,Boston,TO_BE_ADDED,MA,USA,Consumer,low,No,No,0,9dd8b-1d03,818-86-2059;173-53-6828;145-05-4873;438-80-6581,145-05-4873,2293,Boston,MA,42.338947,-70.919635,,DistributionCenter_29,Warehouse_10
001-91-0327,Brittany,Heller,xxxx-xxxx-xxxx-7557,8dce82fa-50ca-4e8a-805a-074d74fa359a,Mon May 09 22:39:44 EDT 2022,Sat May 14 22:35:38 EDT 2022,Standard,FUR-TA-4817-287,Furniture,Tables,Brite Conference Table - Assembled,2,281.18,14.1,17.29,559.1700000000001,72.69210000000001,DistributionCenter_62,33169,33169,Approved,Miami,TO_BE_ADDED,FL,USA,Corporate,low,No,Yes,4,,016-10-6957,016-10-6957,33169,Miami,FL,25.94267,-80.21276,,DistributionCenter_62,Warehouse_17
470-53-6078,Saul,Sporer,xxxx-xxxx-xxxx-8906,8b729b68-61a4-46f6-9aa2-065a88095b7f,Mon May 09 22:28:08 EDT 2022,Sat May 14 22:39:53 EDT 2022,Standard,CLO-SH-6488-468,Clothing,Shorts,JCrew Shorts - Salmon,3,736.8,7.61,13.96,2204.0499999999997,352.64799999999997,DistributionCenter_5,60672,60672,Approved,Chicago,TO_BE_ADDED,IL,USA,Home Office,Critical,No,No,2,,641-61-7172;284-03-2535;005-95-4749;616-18-7721,005-95-4749;616-18-7721,60672,Chicago,IL,41.811929,-87.68732,,DistributionCenter_5,Warehouse_2
411-84-9352,Mattie,Rolfson,xxxx-xxxx-xxxx-6041,5461fba4-f7ab-423f-bb11-36d5b86f73b6,Mon May 09 22:39:07 EDT 2022,Tue May 10 22:38:09 EDT 2022,Next Day,CLO-TS-6486-657,Clothing,TShirt,Everlane Tshirt - Navy,4,62.11,3.42,8.27,243.58999999999997,36.53849999999999,DistributionCenter_92,30307,30307,Approved,Atlanta,TO_BE_ADDED,GA,USA,Corporate,High,No,No,3,1fba4-f7ab,739-72-7495;248-44-5679;419-11-3248,248-44-5679,30307,Atlanta,GA,33.768205,-84.33786,,DistributionCenter_92,Warehouse_17
043-50-8951,Rosina,Kilback,xxxx-xxxx-xxxx-5977,fd9bdf62-610c-4c77-98d0-227f7f9df7a6,Mon May 09 22:27:24 EDT 2022,Wed May 11 22:34:56 EDT 2022,Two Day,GRO-BE-0281-876,Grocery,Beans,Garbanzo Beans,5,1.66,2.62,0.57,10.349999999999998,1.7594999999999998,DistributionCenter_21,10101,10101,Approved,New York,TO_BE_ADDED,NY,USA,Home Office,low,No,Yes,2,,069-41-4460;177-66-2823;549-67-6455,,10101,New York,NY,40.780751,-73.977182,,DistributionCenter_21,Warehouse_7
181-22-6477,Burley,Beer,xxxx-xxxx-xxxx-1796,876495a4-70eb-46e6-8212-aa7491291796,Mon May 09 22:30:29 EDT 2022,Sat May 14 22:34:53 EDT 2022,Standard,CLO-TS-7141-138,Clothing,TShirt,Everlane Tshirt - Gray,2,46.77,3.68,6.05,91.17000000000002,4.558500000000001,DistributionCenter_14,10080,10080,Approved,New York,TO_BE_ADDED,NY,USA,Consumer,High,No,No,2,,577-56-9034;561-14-6735;303-48-6247;530-08-3686,303-48-6247;530-08-3686,10080,New York,NY,40.780751,-73.977182,,DistributionCenter_14,Warehouse_5
571-23-2605,Ozzie,Towne,xxxx-xxxx-xxxx-1864,c77fc031-b69a-4160-8375-b65ce050b4ff,Mon May 09 22:33:02 EDT 2022,Sat May 14 22:35:21 EDT 2022,Standard,FUR-TA-4164-543,Furniture,Tables,Brite Conference Table - Assembled,4,352.66,11.1,19.42,1402.32,112.1856,DistributionCenter_55,33265,33265,Approved,Miami,TO_BE_ADDED,FL,USA,Corporate,low,No,Yes,3,,776-97-7596;532-55-3586;437-97-7841,532-55-3586;437-97-7841,33265,Miami,FL,25.558428,-80.458168,,DistributionCenter_55,Warehouse_16
277-95-2642,Benjamin,Dach,xxxx-xxxx-xxxx-4673,b2014990-8a10-47d9-bec1-e759116fd247,Mon May 09 22:30:09 EDT 2022,Sat May 14 22:28:13 EDT 2022,Standard,GRO-SN-7435-267,Grocery,Snaks,Cheetos,4,6.29,2.97,1.71,26.419999999999998,2.3777999999999997,DistributionCenter_51,33111,33111,Approved,Miami,TO_BE_ADDED,FL,USA,Corporate,High,No,No,3,,,,33111,Miami,FL,25.558428,-80.458168,DistributionCenter_51,DistributionCenter_51,Warehouse_16
803-67-2103,Milton,Funk,xxxx-xxxx-xxxx-2576,a9ebb09a-3363-4019-864d-2627fdfbd24e,Mon May 09 22:34:53 EDT 2022,Tue May 10 22:39:42 EDT 2022,Next Day,OFF-AP-6910-460,Office Supplies,Appliances,Philips Refrigerator - Blue,1,307.26,24.95,21.83,310.38,37.245599999999996,DistributionCenter_75,75258,75258,Approved,Dallas,TO_BE_ADDED,TX,USA,Home Office,Critical,No,No,1,bb09a-3363,642-97-2391,642-97-2391,75258,Dallas,TX,32.767268,-96.777626,,DistributionCenter_75,Warehouse_20
195-68-7756,Brett,Eichmann,xxxx-xxxx-xxxx-8340,12063112-191f-4a6f-b9bc-86094dc101f6,Mon May 09 22:29:17 EDT 2022,Sat May 14 22:34:38 EDT 2022,Standard,SPO-GO-2160-421,Sports,Golf,Golf Shoes - Taylormade,2,784.73,36.9,74.12,1532.2400000000002,45.967200000000005,DistributionCenter_32,2123,2123,Approved,Boston,TO_BE_ADDED,MA,USA,Consumer,medium,Yes,No,2,,824-84-0074,824-84-0074,2123,Boston,MA,42.338947,-70.919635,,DistributionCenter_32,Warehouse_11
479-83-6893,Christopher,Osinski,xxxx-xxxx-xxxx-0326,11862602-4358-4cbe-b37e-819fbea067eb,Mon May 09 22:28:58 EDT 2022,Wed May 11 22:38:10 EDT 2022,Two Day,OFF-BI-3007-620,Office Supplies,Binders,Tarzan Binder - Red - 5,3,11.1,2.75,1.57,34.48,5.8616,DistributionCenter_21,10021,10021,Declined,New York,TO_BE_ADDED,NY,USA,Consumer,High,No,Yes,1,62602-4358,896-07-2466,896-07-2466,10021,New York,NY,40.76842,-73.96045,,DistributionCenter_21,Warehouse_7
